x,y,z,yaw
180.04617258533378,-87.85715303675124,0,111.368927267
179.67654166666665,-86.91245833333335,0,110.71601542
179.3187267047897,-85.96632841386608,0,110.067890237
178.9725817247371,-85.01879774302697,0,109.424793413
178.63796075154318,-84.06990078549379,0,108.786959245
178.31471781024237,-83.11967200594421,0,108.154614348
178.0027069258688,-82.16814586905582,0,107.527977415
177.70178212345678,-81.2153568395062,0,106.907259002
177.4117974280407,-80.26133938197302,0,106.292661361
177.13260686465483,-79.306127961134,0,105.6843783
176.86406445833336,-78.34975704166669,0,105.08259508
176.60602423411063,-77.39226108824872,0,104.48748835
176.35834021702107,-76.43367456555791,0,103.899226106
176.12086643209875,-75.47403193827162,0,103.317967691
175.89345690437816,-74.5133676710677,0,102.74386382
175.67596565889346,-73.55171622862369,0,102.177056634
175.468246720679,-72.58911207561727,0,101.617679782
175.27015411476916,-71.62558967672618,0,101.065858533
175.081541866198,-70.66118349662779,0,100.521709901
174.90226399999997,-69.69592799999998,0,99.9853428009
174.73217454120945,-68.72985765152038,0,99.456858225
174.5711275148606,-67.76300691586653,0,98.9363494296
174.41897694598768,-66.79541025771607,0,98.423902146
174.27557685962503,-65.82710214174668,0,97.9195948025
174.140781280807,-64.85811703263604,0,97.4234987599
174.01444423456792,-63.888489395061754,0,96.9356785581
173.89641974594196,-62.91825369370147,0,96.4561921721
173.7865618399634,-61.94744439323276,0,95.9850912763
173.6847245416667,-60.97609595833339,0,95.5224215144
173.5907618760859,-60.00424285368081,0,95.0682227745
173.50452786825556,-59.03191954395285,0,94.622529468
173.42587654320988,-58.059160493827164,0,94.1853708105
173.35466192598312,-57.08600016798127,0,93.7567711033
173.29073804160947,-56.112473031092804,0,93.3367500156
173.23395891512342,-55.13861354783947,0,92.9253228652
173.1841785715592,-54.16445618289893,0,92.5225008975
173.14125103595111,-53.19003540094883,0,92.1282915613
173.10503033333333,-52.21538566666666,0,91.7426987814
173.07537048874025,-51.24054144473021,0,91.3657232267
173.05212552720624,-50.26553719981712,0,90.997362574
173.03514947376544,-49.290407396604905,0,90.6376117662
173.02429635345223,-48.31518649977136,0,90.2864632642
173.01942019130087,-47.339908973994056,0,89.9439072942
173.02037501234565,-46.364609283950614,0,89.609932087
173.0270148416209,-45.38932189431867,0,89.2845241119
173.03919370416094,-44.41408126977595,0,88.9676683028
173.056765625,-43.43892187499998,0,88.6593482787
173.0795846291724,-42.46387817466854,0,88.3595465554
173.10750474171238,-41.48898463345904,0,88.068244752
173.14037998765434,-40.51427571604938,0,87.785423789
173.17806439203247,-39.539785887117034,0,87.5110640798
173.2204119798811,-38.56554961133972,0,87.2451457157
173.26727677623455,-37.59160135339508,0,86.9876486434
173.31851280612713,-36.61797557796069,0,86.7385528358
173.37397409459305,-35.6447067497142,0,86.4978384568
173.4335146666667,-34.67182933333336,0,86.2654860189
173.49698854738227,-33.69937779349567,0,86.041476535
173.56424976177414,-32.72738659487885,0,85.8257916635
173.63515233487655,-31.755890202160515,0,85.6184138487
173.70955029172384,-30.784923080018302,0,85.419326454
173.78729765735025,-29.814519693129853,0,85.2285138903
173.86824845679016,-28.844714506172863,0,85.0459617395
173.95225671507768,-27.87554198382486,0,84.871656872
174.03917645724735,-26.907036590763596,0,84.7055875599
174.12886170833335,-25.939232791666655,0,84.5477435855
174.22116649336994,-24.972165051211732,0,84.3981163449
174.3159448373914,-24.005867834076355,0,84.2566989478
174.41305076543208,-23.040375604938276,0,84.123486313
174.5123383025263,-22.07572282847508,0,83.9984752599
174.6136614737083,-21.11194396936446,0,83.8816645963
174.71687430401235,-20.149073492283947,0,83.7730552028
174.82183081847282,-19.18714586191129,0,83.6726501138
174.92838504212392,-18.226195542924074,0,83.5804545949
175.03639099999998,-17.266256999999996,0,83.4964762174
175.14570271713535,-16.307364697816638,0,83.4207249301
175.25617421856424,-15.34955310105164,0,83.3532131277
175.367659529321,-14.392856674382756,0,83.2939557166
175.48001267443985,-13.437309882487398,0,83.2429701783
175.5930876789552,-12.482947190043433,0,83.2002766296
175.7067385679012,-11.529803061728387,0,83.1658978808
175.8208193663123,-10.577911962219957,0,83.1398594908
175.93518409922268,-9.627308356195726,0,83.1221898201
176.04968679166666,-8.678026708333277,0,83.1129200806
176.16418146867858,-7.730101483310477,0,83.1120843842
176.27852215529265,-6.7835671458047955,0,83.1197197868
176.39256287654322,-5.838458160493815,0,83.1358663314
176.50615765746457,-4.894808992055346,0,83.1605670873
176.61916052309104,-3.952654105166914,0,83.1938681871
176.7314254984568,-3.012027964506217,0,83.2358188601
176.84280660859622,-2.07296503475078,0,83.2864714627
176.95315787854366,-1.1354997805784137,0,83.3458815055
177.06233333333336,-0.19966666666675792,0,83.4141076769
177.17018699799956,0.734499842306775,0,83.4912118622
177.27657289757656,1.6669652816643747,0,83.5772591591
177.38134505709877,2.5976951867284015,0,83.6723178887
177.48435750160039,3.5266550928211586,0,83.7764596008
177.5854642561157,4.453810535265177,0,83.889759075
177.68451934567898,5.379127049382703,0,84.0122943154
177.78137679532466,6.302570170496097,0,84.1441465395
177.87589063008687,7.224105433927718,0,84.2854001596
177.96791487500002,8.143698375000042,0,84.4361427579
178.05730355509831,9.0613145290352,0,84.5964650528
178.1439106954161,9.976919431355725,0,84.7664608571
